time,price,bid,ask,spread,volume,last_trade_price
1,100.0,,101.68,,0,
2,100.0,98.1,98.96,0.8599999999999994,0,
3,97.79,,98.96,,2,97.79
4,96.11,,98.96,,4,96.11
5,96.11,,98.09,,0,
6,95.33,,98.09,,3,95.33
7,95.33,,94.18,,0,
8,94.18,,94.18,,1,94.18
9,94.18,94.32,95.64,1.3200000000000074,3,94.18
10,97.26,96.58,97.26,0.6800000000000068,3,97.26
11,97.26,97.54,97.59,0.04999999999999716,1,97.26
12,96.3,95.47,96.3,0.8299999999999983,7,96.3
13,94.47,94.32,94.47,0.15000000000000568,3,94.47
14,92.52,,92.52,,4,92.52
15,91.48,,91.48,,5,91.48
16,91.48,,91.48,,4,91.48
17,89.38,,89.38,,1,89.38
18,89.38,,88.55,,0,
19,89.38,,87.89,,0,
20,87.88,,87.89,,3,87.88
21,87.38,,87.38,,8,87.38
22,85.38,,85.67,,9,85.38
23,84.19,,84.19,,4,84.19
24,83.69,,83.69,,3,83.69
25,83.28,,83.28,,9,83.28
26,82.25,,82.78,,4,82.25
27,81.0,,81.0,,11,81.0
28,80.91,,80.91,,6,80.91
29,80.41,,80.41,,4,80.41
30,77.95,,77.95,,6,77.95
31,78.12,,78.12,,10,78.12
32,77.91,,77.91,,4,77.91
33,76.16,76.03,76.19,0.1599999999999966,8,76.16
34,74.71,,74.71,,1,74.71
35,73.87,,73.9,,2,73.87
36,73.37,,73.37,,8,73.37
37,72.87,,72.87,,1,72.87
38,72.37,,72.37,,1,72.37
39,71.04,,71.13,,5,71.04
40,71.31,,71.31,,4,71.31
41,71.02,,71.02,,7,71.02
42,69.37,,69.37,,9,69.37
43,68.7,,68.7,,5,68.7
44,68.2,,68.2,,4,68.2
45,68.2,,68.2,,15,68.2
46,68.36,,68.36,,7,68.36
47,67.41,67.11,67.41,0.29999999999999716,8,67.41
48,67.41,67.11,67.41,0.29999999999999716,9,67.41
49,66.12,,66.12,,12,66.12
50,66.12,,65.62,,0,
51,65.32,,65.32,,6,65.32
52,63.96,,63.96,,3,63.96
53,63.46,,63.46,,4,63.46
54,62.96,,63.46,,9,62.96
55,63.46,,63.96,,10,63.46
56,62.5,62.28,62.5,0.21999999999999886,5,62.5
57,61.27,,61.27,,10,61.27
58,62.5,62.4,62.5,0.10000000000000142,12,62.5
59,62.16,62.32,62.5,0.17999999999999972,7,62.16
60,61.84,,61.84,,8,61.84
61,62.16,,62.16,,7,62.16
62,60.89,,60.89,,2,60.89
63,60.56,,60.56,,4,60.56
64,60.06,,60.06,,6,60.06
