time,price,bid,ask,spread,volume,last_trade_price
1,100.0,100.09,100.29,0.20000000000000284,0,
2,100.0,100.09,100.29,0.20000000000000284,0,
3,98.85,98.96,100.29,1.3300000000000125,6,98.85
4,98.52,98.26,98.52,0.2599999999999909,6,98.52
5,98.52,98.26,98.52,0.2599999999999909,0,
6,98.79,98.73,99.26,0.5300000000000011,9,98.79
7,98.79,99.09,99.26,0.1700000000000017,0,
8,98.47,98.95,99.26,0.3100000000000023,5,98.47
9,97.76,98.95,99.26,0.3100000000000023,1,97.76
10,100.29,98.95,100.3,1.3499999999999943,6,100.29
11,100.3,99.57,100.3,0.730000000000004,4,100.3
12,100.3,99.57,100.48,0.9100000000000108,2,100.3
13,100.67,99.57,100.67,1.1000000000000085,7,100.67
14,100.2,99.57,100.32,0.75,5,100.2
15,98.51,99.31,100.32,1.009999999999991,2,98.51
16,99.23,98.95,100.32,1.3699999999999903,3,99.23
17,100.67,99.86,100.67,0.8100000000000023,3,100.67
18,101.08,101.58,102.31,0.730000000000004,6,101.08
19,102.86,102.88,103.18,0.30000000000001137,5,102.86
20,101.56,102.44,103.18,0.7400000000000091,7,101.56
21,101.31,101.58,103.18,1.6000000000000085,15,101.31
22,103.18,103.35,104.19,0.8400000000000034,8,103.18
23,104.19,104.34,,,14,104.19
24,104.19,105.99,,,0,
25,104.78,104.69,104.78,0.09000000000000341,13,104.78
26,104.81,104.69,104.81,0.12000000000000455,6,104.81
27,103.83,104.34,104.81,0.46999999999999886,13,103.83
28,105.08,105.08,105.71,0.6299999999999955,9,105.08
29,104.03,104.25,105.43,1.1800000000000068,13,104.03
30,105.43,105.27,105.43,0.1600000000000108,5,105.43
31,106.0,105.27,106.0,0.730000000000004,15,106.0
32,105.34,105.27,105.56,0.29000000000000625,1,105.34
33,106.01,105.27,106.01,0.7400000000000091,11,106.01
34,106.01,105.27,106.01,0.7400000000000091,0,
35,106.49,106.44,106.49,0.04999999999999716,7,106.49
36,106.49,106.44,106.49,0.04999999999999716,3,106.49
37,106.49,106.44,107.25,0.8100000000000023,8,106.49
38,107.4,106.44,107.4,0.960000000000008,17,107.4
39,105.27,106.44,106.77,0.3299999999999983,2,105.27
40,106.77,106.69,107.29,0.6000000000000085,5,106.77
41,106.89,106.69,106.89,0.20000000000000284,2,106.89
42,106.89,106.69,106.89,0.20000000000000284,0,
43,107.4,106.69,107.77,1.0799999999999983,14,107.4
44,107.93,107.36,107.93,0.5700000000000074,4,107.93
45,107.93,107.78,107.98,0.20000000000000284,4,107.93
46,108.2,107.78,108.46,0.6799999999999926,8,108.2
47,108.54,108.62,108.77,0.14999999999999147,5,108.54
48,108.77,109.16,109.26,0.10000000000000853,9,108.77
49,109.56,109.71,110.02,0.3100000000000023,4,109.56
50,110.16,109.71,110.97,1.2600000000000051,8,110.16
51,110.97,110.79,110.97,0.1799999999999926,4,110.97
52,110.97,112.1,,,2,110.97
53,110.97,112.1,,,0,
54,111.21,112.2,,,1,111.21
55,109.32,112.74,,,2,109.32
56,109.64,112.2,,,3,109.64
57,108.96,112.19,,,2,108.96
58,108.96,112.19,,,0,
59,108.03,112.1,,,4,108.03
60,108.65,111.53,,,19,108.65
61,109.26,111.49,,,8,109.26
62,108.76,111.47,,,4,108.76
63,108.26,111.47,,,1,108.26
64,108.52,111.19,,,4,108.52
65,108.74,110.79,,,19,108.74
66,108.74,110.79,,,0,
67,108.74,110.79,,,0,
68,108.74,110.79,,,0,
69,108.74,110.79,,,0,
70,108.74,110.79,,,0,
71,108.74,110.79,,,0,
72,108.74,110.79,,,0,
73,108.74,110.79,,,0,
74,108.22,109.96,,,5,108.22
75,108.22,109.96,,,0,
76,108.22,109.96,,,0,
77,108.22,109.96,,,0,
78,108.22,109.96,,,0,
79,108.22,109.96,,,0,
80,108.22,109.96,,,0,
81,109.93,109.71,,,2,109.93
82,109.43,110.43,,,3,109.43
83,108.05,110.99,,,1,108.05
84,108.05,110.99,,,0,
85,107.94,110.43,,,1,107.94
86,108.59,110.43,,,3,108.59
87,108.59,110.47,,,0,
88,106.94,110.41,,,3,106.94
89,107.92,109.86,,,3,107.92
90,109.62,109.86,,,2,109.62
91,109.62,110.75,,,0,
92,109.12,110.94,,,2,109.12
93,109.12,110.94,,,0,
94,109.12,110.94,,,0,
95,109.12,110.94,,,0,
96,109.12,110.94,,,0,
97,109.74,110.9,,,2,109.74
98,109.74,110.9,,,0,
99,109.74,110.9,,,0,
100,107.9,111.05,,,1,107.9
101,108.53,110.9,,,3,108.53
102,108.97,110.71,,,8,108.97
103,110.69,110.24,,,2,110.69
104,108.99,110.24,,,3,108.99
105,108.33,110.24,,,1,108.33
106,109.21,110.24,,,5,109.21
107,109.21,110.24,,,0,
108,109.21,110.24,,,0,
109,109.21,110.24,,,0,
110,109.21,110.24,,,0,
111,109.21,110.24,,,0,
112,109.21,110.66,,,0,
113,109.21,110.66,,,0,
114,109.38,110.56,,,6,109.38
115,108.21,110.24,,,5,108.21
116,108.21,110.24,,,0,
117,109.36,110.05,,,17,109.36
118,109.46,110.05,,,5,109.46
119,107.47,110.02,,,5,107.47
120,108.0,109.97,,,4,108.0
121,108.23,109.97,,,9,108.23
122,110.16,110.97,,,3,110.16
123,110.16,111.7,,,0,
124,111.28,111.12,,,6,111.28
125,112.08,112.84,,,5,112.08
126,112.08,112.84,,,0,
127,112.08,112.84,,,0,
128,111.28,112.58,,,4,111.28
129,111.28,112.58,,,0,
130,112.18,112.58,,,1,112.18
131,112.18,112.68,,,0,
132,112.18,113.81,,,0,
133,114.07,113.81,,,4,114.07
134,114.07,114.57,,,0,
135,114.07,115.52,,,0,
136,114.07,115.52,,,0,
137,114.07,115.52,,,0,
138,115.77,117.12,,,1,115.77
139,115.77,117.12,,,0,
140,115.77,117.12,,,0,
141,115.77,117.27,,,0,
142,115.5,117.12,117.52,0.3999999999999915,2,115.5
143,117.52,117.12,117.52,0.3999999999999915,2,117.52
144,117.52,117.12,117.52,0.3999999999999915,5,117.52
145,117.8,117.36,117.8,0.4399999999999977,3,117.8
146,117.8,118.61,,,3,117.8
147,118.8,119.02,,,3,118.8
148,119.41,120.3,121.59,1.2900000000000063,2,119.41
149,121.59,121.62,,,4,121.59
150,121.59,122.09,,,0,
151,123.52,124.26,,,1,123.52
152,123.52,124.26,,,0,
153,124.3,125.04,,,3,124.3
