time,price,bid,ask,spread,volume,last_trade_price
1,100.0,99.84,,,0,
2,100.27,102.62,102.84,0.21999999999999886,7,100.27
3,103.53,103.95,,,5,103.53
4,104.11,103.95,106.16,2.2099999999999937,1,104.11
5,106.36,105.17,,,14,106.36
6,103.51,105.2,105.42,0.21999999999999886,4,103.51
7,104.31,104.79,105.42,0.6299999999999955,13,104.31
8,104.31,104.82,105.42,0.6000000000000085,0,
9,107.02,107.06,107.81,0.75,8,107.02
10,107.27,107.61,107.74,0.12999999999999545,5,107.27
11,107.74,107.61,107.81,0.20000000000000284,8,107.74
12,107.86,107.61,107.86,0.25,4,107.86
13,107.69,107.61,107.69,0.0799999999999983,9,107.69
14,108.47,109.05,,,12,108.47
15,108.22,109.28,110.06,0.7800000000000011,5,108.22
16,110.06,110.88,110.92,0.04000000000000625,5,110.06
17,111.58,111.59,,,12,111.58
18,111.58,113.46,,,0,
19,112.82,112.96,113.2,0.2400000000000091,10,112.82
20,113.47,112.96,113.47,0.5100000000000051,4,113.47
21,113.47,113.37,113.47,0.09999999999999432,4,113.47
22,115.3,115.43,116.57,1.1399999999999864,15,115.3
23,115.05,115.28,116.57,1.289999999999992,9,115.05
24,116.57,116.35,116.74,0.39000000000000057,5,116.57
25,115.06,116.06,116.74,0.6799999999999926,6,115.06
26,116.38,116.72,116.74,0.01999999999999602,5,116.38
27,115.62,116.06,116.07,0.009999999999990905,6,115.62
28,117.24,117.55,,,11,117.24
29,116.74,117.8,,,2,116.74
30,117.23,117.35,117.9,0.5500000000000114,8,117.23
31,118.44,119.44,,,5,118.44
32,118.45,120.04,120.44,0.3999999999999915,6,118.45
33,118.59,119.59,119.66,0.06999999999999318,6,118.59
34,119.72,119.76,119.9,0.14000000000000057,15,119.72
35,119.9,120.28,120.44,0.1599999999999966,8,119.9
36,120.09,120.28,120.36,0.0799999999999983,6,120.09
37,120.09,120.28,120.36,0.0799999999999983,0,
38,120.49,120.28,120.49,0.20999999999999375,9,120.49
39,119.37,119.69,120.49,0.7999999999999972,12,119.37
40,120.04,119.69,120.49,0.7999999999999972,2,120.04
41,121.29,119.75,121.29,1.5400000000000063,7,121.29
42,119.88,119.75,119.88,0.12999999999999545,6,119.88
43,120.2,120.83,121.29,0.46000000000000796,5,120.2
44,121.28,120.83,121.29,0.46000000000000796,5,121.28
45,121.32,120.83,121.32,0.4899999999999949,9,121.32
46,121.43,121.01,121.54,0.5300000000000011,5,121.43
47,121.91,121.55,122.44,0.8900000000000006,12,121.91
48,122.57,122.39,122.57,0.1799999999999926,2,122.57
49,122.81,122.71,122.81,0.10000000000000853,5,122.81
50,122.34,122.71,122.81,0.10000000000000853,5,122.34
51,122.81,123.26,123.35,0.0899999999999892,3,122.81
52,124.01,124.38,124.88,0.5,7,124.01
53,124.88,125.16,125.2,0.04000000000000625,2,124.88
54,126.08,125.9,126.08,0.1799999999999926,5,126.08
55,126.08,127.58,,,1,126.08
56,125.58,127.58,,,1,125.58
57,124.25,127.58,,,2,124.25
58,123.99,127.33,,,2,123.99
59,125.94,127.33,,,2,125.94
60,126.06,127.21,,,5,126.06
61,126.06,127.21,,,0,
62,125.56,127.59,,,2,125.56
63,126.01,127.85,,,4,126.01
64,127.16,127.86,,,7,127.16
65,127.45,127.85,,,7,127.45
66,127.47,129.12,129.29,0.1699999999999875,1,127.47
67,129.86,130.57,131.27,0.700000000000017,4,129.86
68,131.5,131.87,,,8,131.5
69,131.5,133.29,,,0,
70,131.5,133.29,,,0,
71,133.06,133.68,,,1,133.06
72,131.29,133.29,,,2,131.29
73,131.29,133.29,,,0,
74,132.1,134.08,,,4,132.1
75,133.54,134.31,,,5,133.54
76,134.74,135.5,,,3,134.74
77,135.4,135.26,135.4,0.14000000000001478,5,135.4
78,134.18,134.27,135.15,0.8799999999999955,4,134.18
79,135.65,134.27,,,7,135.65
80,137.02,136.37,137.02,0.6500000000000057,1,137.02
81,135.79,136.22,137.02,0.8000000000000114,6,135.79
82,134.84,136.07,137.02,0.950000000000017,3,134.84
83,135.6,134.93,135.6,0.6699999999999875,1,135.6
