time,price,bid,ask,spread,volume,last_trade_price
1,99.53,100.32,100.73,0.4100000000000108,5,99.53
2,99.0,99.0,99.77,0.769999999999996,20,99.0
3,98.59,98.76,98.82,0.05999999999998806,5,98.59
4,98.82,98.76,99.13,0.36999999999999034,5,98.82
5,98.91,99.08,99.13,0.04999999999999716,15,98.91
6,99.54,99.08,99.54,0.46000000000000796,11,99.54
7,98.45,98.69,99.01,0.3200000000000074,10,98.45
8,100.74,100.7,100.74,0.03999999999999204,24,100.74
9,100.66,100.41,100.66,0.25,7,100.66
10,99.87,100.41,100.66,0.25,16,99.87
11,98.71,100.36,100.66,0.29999999999999716,10,98.71
12,99.94,99.94,100.47,0.5300000000000011,21,99.94
13,98.83,99.89,100.47,0.5799999999999983,6,98.83
14,98.81,98.71,98.81,0.10000000000000853,13,98.81
15,99.57,98.71,99.57,0.8599999999999994,9,99.57
16,97.11,98.71,99.13,0.4200000000000017,1,97.11
17,98.89,98.71,98.89,0.18000000000000682,11,98.89
18,98.89,98.71,98.89,0.18000000000000682,7,98.89
19,98.89,98.71,98.89,0.18000000000000682,3,98.89
20,98.89,98.71,98.89,0.18000000000000682,9,98.89
21,98.89,98.92,99.11,0.18999999999999773,13,98.89
22,99.13,98.92,99.13,0.20999999999999375,14,99.13
23,99.22,98.97,99.22,0.25,25,99.22
24,99.26,98.97,99.26,0.29000000000000625,13,99.26
25,98.76,98.92,99.26,0.3400000000000034,5,98.76
26,99.3,98.92,99.57,0.6499999999999915,6,99.3
27,98.24,98.71,99.37,0.6600000000000108,7,98.24
28,97.81,98.64,99.37,0.730000000000004,12,97.81
29,98.28,98.56,99.14,0.5799999999999983,19,98.28
30,97.96,98.55,99.14,0.5900000000000034,17,97.96
31,97.65,98.46,98.73,0.27000000000001023,10,97.65
32,99.58,99.49,99.58,0.09000000000000341,36,99.58
33,98.45,98.42,98.45,0.030000000000001137,10,98.45
34,98.24,98.37,98.45,0.0799999999999983,25,98.24
35,97.95,98.05,98.45,0.4000000000000057,50,97.95
36,97.54,98.05,98.12,0.07000000000000739,12,97.54
37,96.97,97.97,98.12,0.15000000000000568,30,96.97
38,97.31,97.95,98.12,0.1700000000000017,24,97.31
39,98.78,98.73,98.78,0.04999999999999716,11,98.78
40,98.33,98.73,98.78,0.04999999999999716,7,98.33
41,98.22,98.65,98.66,0.009999999999990905,14,98.22
42,99.21,99.01,99.21,0.19999999999998863,9,99.21
43,99.27,99.01,99.27,0.2599999999999909,13,99.27
44,98.92,98.74,98.92,0.18000000000000682,3,98.92
45,99.58,99.11,99.58,0.46999999999999886,18,99.58
46,99.89,99.11,99.89,0.7800000000000011,31,99.89
47,98.61,99.1,99.89,0.7900000000000063,27,98.61
48,99.94,99.1,99.94,0.8400000000000034,27,99.94
49,97.83,98.74,98.76,0.020000000000010232,32,97.83
50,98.29,98.65,98.76,0.10999999999999943,13,98.29
