time,price,bid,ask,spread,volume,last_trade_price
1,100.0,99.84,,,0,
2,100.0,99.84,,,0,
3,100.0,100.51,101.77,1.259999999999991,0,
4,101.77,101.79,102.65,0.8599999999999994,1,101.77
5,101.77,101.85,102.65,0.8000000000000114,0,
6,101.77,101.85,102.65,0.8000000000000114,0,
7,102.65,101.85,102.65,0.8000000000000114,5,102.65
8,100.64,101.1,101.31,0.21000000000000796,8,100.64
9,100.64,101.1,101.31,0.21000000000000796,0,
10,101.31,102.3,102.65,0.3500000000000085,1,101.31
11,102.08,101.1,102.08,0.980000000000004,6,102.08
12,102.08,101.1,102.65,1.5500000000000114,1,102.08
13,101.68,102.28,102.65,0.37000000000000455,2,101.68
14,102.65,104.03,,,2,102.65
15,102.34,102.28,,,2,102.34
16,102.34,102.28,102.85,0.5699999999999932,0,
17,101.68,102.28,102.85,0.5699999999999932,4,101.68
18,101.68,102.28,102.85,0.5699999999999932,0,
19,101.02,101.89,102.85,0.9599999999999937,3,101.02
20,102.85,103.2,,,1,102.85
21,102.35,103.88,,,2,102.35
22,102.35,103.88,,,0,
23,102.35,103.88,,,0,
24,101.68,103.88,,,1,101.68
25,100.85,103.44,,,3,100.85
26,100.85,103.44,,,0,
27,100.35,103.38,,,3,100.35
28,100.35,103.38,,,0,
29,101.68,103.25,,,10,101.68
30,101.68,103.25,,,0,
31,101.68,103.25,,,0,
32,101.68,103.25,,,0,
33,101.68,103.25,,,0,
34,99.85,103.25,,,1,99.85
35,98.15,102.74,,,4,98.15
36,99.69,102.68,,,6,99.69
37,99.69,102.68,,,0,
38,99.69,102.68,,,0,
39,99.69,102.68,,,0,
40,99.82,102.68,,,10,99.82
41,98.96,102.38,,,1,98.96
42,99.92,102.08,,,5,99.92
43,100.48,102.08,,,3,100.48
44,101.12,101.57,,,6,101.12
45,101.05,101.96,,,4,101.05
46,101.05,101.96,,,0,
47,101.05,101.96,,,0,
48,102.94,103.81,,,5,102.94
49,102.62,103.17,,,4,102.62
50,101.86,101.69,101.86,0.1700000000000017,13,101.86
51,100.87,101.55,101.86,0.3100000000000023,18,100.87
52,101.62,101.55,101.62,0.07000000000000739,2,101.62
53,101.72,101.55,101.72,0.1700000000000017,5,101.72
54,101.42,101.55,101.72,0.1700000000000017,15,101.42
55,101.42,101.55,101.72,0.1700000000000017,0,
56,101.72,101.55,101.72,0.1700000000000017,5,101.72
57,101.51,101.55,101.72,0.1700000000000017,3,101.51
58,101.51,101.55,101.72,0.1700000000000017,0,
59,101.09,101.45,101.47,0.01999999999999602,4,101.09
60,100.96,101.41,101.47,0.060000000000002274,7,100.96
61,100.96,101.41,101.47,0.060000000000002274,0,
62,100.96,101.41,101.47,0.060000000000002274,0,
63,100.96,101.41,101.47,0.060000000000002274,0,
64,100.96,101.41,101.47,0.060000000000002274,0,
65,101.25,101.27,101.47,0.20000000000000284,1,101.25
66,101.69,101.27,101.69,0.4200000000000017,4,101.69
67,101.73,101.28,101.73,0.45000000000000284,4,101.73
68,99.63,101.27,101.73,0.46000000000000796,3,99.63
69,100.5,101.44,101.73,0.29000000000000625,3,100.5
70,100.11,101.27,101.73,0.46000000000000796,4,100.11
71,102.07,102.47,102.64,0.1700000000000017,9,102.07
72,100.66,101.89,102.64,0.75,7,100.66
73,102.73,101.89,102.73,0.8400000000000034,2,102.73
74,102.83,101.89,102.83,0.9399999999999977,12,102.83
75,101.88,101.84,101.88,0.03999999999999204,4,101.88
76,101.88,101.84,101.88,0.03999999999999204,0,
77,101.89,101.91,101.92,0.010000000000005116,3,101.89
78,100.61,101.84,101.92,0.0799999999999983,2,100.61
79,100.61,101.84,101.92,0.0799999999999983,0,
80,101.98,101.84,101.98,0.14000000000000057,5,101.98
81,102.1,101.84,102.34,0.5,5,102.1
82,102.83,101.84,102.9,1.0600000000000023,5,102.83
83,102.79,102.13,102.9,0.7700000000000102,9,102.79
84,101.24,101.27,101.35,0.0799999999999983,10,101.24
85,101.35,101.27,101.35,0.0799999999999983,5,101.35
86,101.35,101.27,101.35,0.0799999999999983,0,
87,101.35,101.27,101.33,0.060000000000002274,0,
88,101.35,101.27,101.35,0.0799999999999983,5,101.35
89,101.35,101.27,101.35,0.0799999999999983,0,
90,101.35,101.27,101.35,0.0799999999999983,0,
91,101.35,101.27,101.35,0.0799999999999983,0,
92,101.35,101.27,101.35,0.0799999999999983,0,
93,101.35,101.27,101.35,0.0799999999999983,0,
94,101.35,101.27,101.45,0.18000000000000682,1,101.35
95,100.0,101.25,101.45,0.20000000000000284,4,100.0
96,100.12,101.2,101.45,0.25,8,100.12
97,101.66,101.2,101.66,0.45999999999999375,8,101.66
98,101.83,101.2,101.83,0.6299999999999955,5,101.83
99,102.02,101.2,102.02,0.8199999999999932,5,102.02
100,100.79,101.2,102.02,0.8199999999999932,5,100.79
101,102.02,101.2,102.02,0.8199999999999932,2,102.02
102,102.02,101.2,101.22,0.01999999999999602,0,
103,102.02,101.2,101.22,0.01999999999999602,0,
104,101.22,101.2,101.36,0.1599999999999966,5,101.22
105,101.36,101.96,102.02,0.060000000000002274,1,101.36
106,100.32,101.96,102.02,0.060000000000002274,3,100.32
107,101.77,101.64,101.77,0.12999999999999545,1,101.77
108,102.02,101.64,102.23,0.5900000000000034,2,102.02
109,102.23,101.64,102.23,0.5900000000000034,2,102.23
110,102.23,101.64,102.23,0.5900000000000034,0,
111,102.33,101.64,102.33,0.6899999999999977,6,102.33
112,100.01,101.64,102.33,0.6899999999999977,1,100.01
113,102.33,102.38,102.43,0.05000000000001137,3,102.33
114,102.33,102.38,102.43,0.05000000000001137,0,
115,102.72,102.38,102.72,0.3400000000000034,8,102.72
116,101.28,102.06,102.07,0.009999999999990905,10,101.28
117,101.97,102.06,102.07,0.009999999999990905,1,101.97
118,101.97,102.06,102.07,0.009999999999990905,0,
119,100.4,101.64,102.07,0.4299999999999926,4,100.4
120,102.07,102.09,102.72,0.6299999999999955,10,102.07
121,102.07,102.38,102.72,0.3400000000000034,0,
122,101.34,102.38,102.72,0.3400000000000034,1,101.34
123,102.92,102.38,102.92,0.5400000000000063,7,102.92
124,101.77,102.06,102.15,0.09000000000000341,7,101.77
125,101.77,102.06,102.15,0.09000000000000341,0,
126,101.77,102.06,102.15,0.09000000000000341,0,
127,101.77,102.06,102.15,0.09000000000000341,0,
128,101.77,102.06,102.15,0.09000000000000341,0,
129,102.22,102.39,102.92,0.5300000000000011,2,102.22
130,102.92,102.39,102.92,0.5300000000000011,5,102.92
131,103.1,102.39,103.1,0.7099999999999937,10,103.1
132,102.72,102.39,102.78,0.39000000000000057,4,102.72
133,102.17,102.23,102.78,0.5499999999999972,7,102.17
134,102.03,102.23,102.78,0.5499999999999972,3,102.03
135,102.03,102.31,102.78,0.46999999999999886,0,
136,102.78,102.31,102.88,0.5699999999999932,1,102.78
137,103.2,102.31,103.2,0.8900000000000006,8,103.2
138,101.55,101.4,101.78,0.37999999999999545,12,101.55
139,101.55,101.4,101.78,0.37999999999999545,0,
140,100.34,101.4,101.78,0.37999999999999545,1,100.34
141,101.43,101.47,101.78,0.3100000000000023,13,101.43
142,101.43,101.47,101.78,0.3100000000000023,0,
143,101.78,101.92,102.25,0.3299999999999983,4,101.78
144,100.36,101.47,102.25,0.7800000000000011,1,100.36
145,102.25,102.25,103.04,0.7900000000000063,7,102.25
146,102.25,102.25,102.85,0.5999999999999943,0,
147,102.25,102.25,102.85,0.5999999999999943,0,
148,102.85,102.25,103.04,0.7900000000000063,4,102.85
149,103.26,102.55,103.26,0.710000000000008,8,103.26
150,103.06,102.69,103.06,0.37000000000000455,3,103.06
151,101.59,102.69,103.06,0.37000000000000455,1,101.59
152,101.59,102.69,103.06,0.37000000000000455,0,
153,102.11,102.64,103.06,0.4200000000000017,5,102.11
154,101.31,102.43,103.06,0.6299999999999955,5,101.31
155,101.31,102.43,103.06,0.6299999999999955,0,
156,100.96,102.13,103.06,0.9300000000000068,3,100.96
157,100.98,101.67,103.06,1.3900000000000006,6,100.98
158,101.66,101.67,101.75,0.0799999999999983,3,101.66
159,99.98,101.47,101.75,0.28000000000000114,2,99.98
160,99.96,101.2,101.75,0.5499999999999972,10,99.96
161,103.26,101.2,103.26,2.0600000000000023,21,103.26
162,102.93,102.7,102.93,0.23000000000000398,6,102.93
163,103.35,102.7,103.35,0.6499999999999915,17,103.35
164,101.75,101.2,101.75,0.5499999999999972,3,101.75
165,101.75,101.2,101.75,0.5499999999999972,0,
166,101.75,101.2,101.75,0.5499999999999972,0,
167,101.75,101.2,101.81,0.6099999999999994,4,101.75
168,101.75,101.2,101.81,0.6099999999999994,0,
169,101.91,101.2,101.91,0.7099999999999937,4,101.91
170,101.91,101.2,101.91,0.7099999999999937,0,
171,101.91,101.2,101.91,0.7099999999999937,1,101.91
172,101.91,101.2,101.24,0.03999999999999204,0,
173,100.83,101.15,101.24,0.0899999999999892,5,100.83
174,100.69,101.12,101.24,0.11999999999999034,4,100.69
175,100.44,101.12,101.24,0.11999999999999034,5,100.44
176,101.24,101.12,101.24,0.11999999999999034,8,101.24
177,99.82,101.12,101.24,0.11999999999999034,4,99.82
178,101.24,101.65,101.91,0.2599999999999909,7,101.24
179,102.53,101.65,102.53,0.8799999999999955,3,102.53
180,101.61,101.61,102.53,0.9200000000000017,4,101.61
181,101.61,101.61,102.04,0.4300000000000068,0,
182,99.84,101.12,101.38,0.2599999999999909,9,99.84
183,100.01,101.1,101.13,0.030000000000001137,7,100.01
184,102.04,102.43,102.53,0.09999999999999432,7,102.04
185,101.31,102.43,102.53,0.09999999999999432,5,101.31
186,101.31,102.43,102.53,0.09999999999999432,0,
187,101.31,102.43,102.53,0.09999999999999432,0,
188,102.53,102.98,103.04,0.060000000000002274,2,102.53
189,102.84,102.78,102.84,0.060000000000002274,7,102.84
190,102.31,101.83,102.31,0.480000000000004,12,102.31
191,102.31,101.83,102.31,0.480000000000004,0,
192,102.31,101.83,102.31,0.480000000000004,0,
193,102.84,101.83,102.91,1.0799999999999983,4,102.84
194,101.66,101.83,102.33,0.5,4,101.66
195,100.85,101.1,102.33,1.230000000000004,5,100.85
196,102.33,101.1,102.91,1.8100000000000023,2,102.33
197,102.33,102.5,102.91,0.4099999999999966,0,
198,102.91,102.5,103.04,0.5400000000000063,3,102.91
199,101.59,101.1,101.59,0.4900000000000091,4,101.59
200,100.84,101.09,101.59,0.5,3,100.84
201,100.84,101.03,101.59,0.5600000000000023,6,100.84
202,100.52,101.01,101.59,0.5799999999999983,8,100.52
203,100.8,101.41,101.59,0.18000000000000682,3,100.8
204,101.59,101.41,101.69,0.28000000000000114,1,101.59
205,101.07,101.41,101.69,0.28000000000000114,1,101.07
206,101.69,101.76,101.88,0.11999999999999034,4,101.69
207,101.69,101.87,101.88,0.009999999999990905,0,
208,101.88,101.87,102.27,0.3999999999999915,4,101.88
209,102.27,101.87,102.27,0.3999999999999915,5,102.27
210,103.06,101.87,103.06,1.1899999999999977,13,103.06
211,102.94,103.05,103.06,0.010000000000005116,8,102.94
212,102.62,102.06,102.69,0.6299999999999955,3,102.62
213,101.26,102.16,102.69,0.5300000000000011,1,101.26
214,101.26,102.16,102.69,0.5300000000000011,0,
215,101.26,102.16,102.69,0.5300000000000011,0,
216,100.68,102.16,102.69,0.5300000000000011,4,100.68
217,101.92,101.96,102.69,0.730000000000004,7,101.92
218,102.69,101.96,102.81,0.8500000000000085,1,102.69
219,101.42,101.76,101.88,0.11999999999999034,7,101.42
220,101.88,102.77,102.81,0.04000000000000625,3,101.88
221,102.36,102.77,102.81,0.04000000000000625,3,102.36
222,102.36,102.77,102.81,0.04000000000000625,0,
223,102.36,102.77,102.81,0.04000000000000625,0,
224,103.35,103.38,103.42,0.04000000000000625,6,103.35
225,102.9,102.94,103.42,0.480000000000004,5,102.9
226,103.53,102.94,103.53,0.5900000000000034,9,103.53
227,101.62,102.6,103.53,0.9300000000000068,15,101.62
228,103.53,102.6,103.55,0.9500000000000028,4,103.53
229,102.07,101.76,102.07,0.30999999999998806,11,102.07
230,100.98,101.65,102.07,0.4199999999999875,3,100.98
231,102.32,102.6,102.81,0.21000000000000796,4,102.32
232,101.7,101.65,102.81,1.1599999999999966,5,101.7
233,101.7,101.65,102.81,1.1599999999999966,0,
234,100.44,101.61,102.81,1.2000000000000028,3,100.44
235,101.88,102.76,102.81,0.04999999999999716,4,101.88
236,103.39,102.76,103.39,0.6299999999999955,7,103.39
237,103.39,102.76,103.39,0.6299999999999955,3,103.39
238,103.39,102.76,103.48,0.7199999999999989,4,103.39
239,102.07,102.41,103.48,1.0700000000000074,8,102.07
240,102.8,102.41,102.8,0.39000000000000057,4,102.8
241,101.81,102.32,102.76,0.44000000000001194,3,101.81
242,101.81,102.32,102.76,0.44000000000001194,0,
243,100.76,101.94,102.76,0.8200000000000074,3,100.76
244,103.48,103.31,103.48,0.1700000000000017,15,103.48
245,103.48,103.31,103.48,0.1700000000000017,5,103.48
246,102.44,103.44,103.48,0.04000000000000625,7,102.44
247,102.44,103.44,103.48,0.04000000000000625,0,
248,102.44,103.44,103.48,0.04000000000000625,0,
249,101.83,103.26,103.48,0.21999999999999886,4,101.83
250,101.82,101.61,103.48,1.8700000000000045,9,101.82
251,101.82,101.69,103.48,1.7900000000000063,0,
252,101.82,101.69,103.48,1.7900000000000063,0,
253,101.82,101.69,103.48,1.7900000000000063,0,
254,101.47,101.69,102.72,1.0300000000000011,2,101.47
255,101.19,101.61,101.7,0.09000000000000341,3,101.19
256,101.7,101.61,102.68,1.0700000000000074,8,101.7
257,101.43,101.6,102.68,1.0800000000000125,2,101.43
258,100.28,101.54,101.75,0.20999999999999375,4,100.28
259,99.85,101.29,101.75,0.45999999999999375,4,99.85
260,102.68,102.7,102.72,0.01999999999999602,7,102.68
261,102.45,102.66,102.72,0.060000000000002274,3,102.45
262,102.08,102.56,102.72,0.1599999999999966,3,102.08
263,102.08,102.56,102.72,0.1599999999999966,0,
264,102.94,102.56,103.46,0.8999999999999915,4,102.94
265,101.31,102.02,103.46,1.4399999999999977,13,101.31
266,101.31,102.96,103.05,0.09000000000000341,0,
267,103.05,102.96,103.05,0.09000000000000341,1,103.05
268,101.98,101.82,101.98,0.1600000000000108,4,101.98
269,101.31,101.5,101.98,0.480000000000004,5,101.31
270,102.0,101.5,102.0,0.5,6,102.0
271,102.0,101.5,102.03,0.5300000000000011,5,102.0
