time,price,bid,ask,spread,volume,last_trade_price
1,100.8,,100.8,,1,100.8
2,100.8,,100.8,,0,
3,99.4,99.68,100.55,0.8699999999999903,10,99.4
4,100.08,99.68,100.55,0.8699999999999903,1,100.08
5,100.42,99.68,100.42,0.7399999999999949,3,100.42
6,100.55,100.43,100.55,0.11999999999999034,6,100.55
7,98.67,100.23,100.55,0.3199999999999932,5,98.67
8,100.8,100.23,100.8,0.5699999999999932,4,100.8
9,100.7,100.23,100.7,0.46999999999999886,5,100.7
10,100.7,100.23,100.7,0.46999999999999886,0,
11,99.53,100.62,100.7,0.0799999999999983,5,99.53
12,100.16,100.23,100.7,0.46999999999999886,9,100.16
13,100.82,100.23,100.95,0.7199999999999989,9,100.82
14,100.13,100.82,100.95,0.13000000000000966,4,100.13
15,100.97,100.82,100.98,0.1600000000000108,4,100.97
16,100.98,100.82,100.98,0.1600000000000108,4,100.98
17,100.98,100.82,101.03,0.21000000000000796,3,100.98
18,100.37,100.69,101.03,0.3400000000000034,11,100.37
19,101.08,100.69,101.08,0.39000000000000057,11,101.08
20,101.65,100.69,101.68,0.9900000000000091,11,101.65
21,100.19,100.23,100.24,0.009999999999990905,19,100.19
22,100.24,100.81,101.68,0.8700000000000045,4,100.24
23,101.73,100.81,101.73,0.9200000000000017,17,101.73
24,101.75,101.81,101.95,0.14000000000000057,8,101.75
25,101.15,100.81,101.15,0.3400000000000034,17,101.15
26,101.15,101.81,101.95,0.14000000000000057,1,101.15
27,101.15,101.81,101.95,0.14000000000000057,0,
28,101.25,101.14,101.25,0.10999999999999943,4,101.25
29,101.25,101.53,101.95,0.4200000000000017,7,101.25
30,102.0,101.53,102.0,0.46999999999999886,10,102.0
31,101.34,101.14,101.34,0.20000000000000284,6,101.34
32,102.0,102.05,102.12,0.07000000000000739,19,102.0
33,102.31,102.05,102.31,0.2600000000000051,11,102.31
34,102.0,101.92,102.0,0.0799999999999983,5,102.0
35,102.18,101.92,102.18,0.2600000000000051,5,102.18
