time,price,bid,ask,spread,volume,last_trade_price
1,100.0,100.02,,,0,
2,100.0,101.39,,,0,
3,100.0,101.39,,,0,
4,100.0,101.39,,,0,
5,100.0,101.39,,,0,
6,100.0,101.39,,,0,
7,100.04,101.39,,,1,100.04
8,100.04,101.39,101.81,0.4200000000000017,0,
9,100.31,101.39,101.81,0.4200000000000017,1,100.31
10,100.31,101.39,101.81,0.4200000000000017,0,
11,100.31,101.39,101.81,0.4200000000000017,0,
12,100.31,101.39,101.81,0.4200000000000017,0,
13,99.84,101.39,101.81,0.4200000000000017,1,99.84
14,99.84,101.39,101.81,0.4200000000000017,0,
15,99.84,101.39,101.81,0.4200000000000017,0,
16,102.66,103.29,,,3,102.66
17,102.66,103.29,,,0,
18,102.67,102.59,102.67,0.0799999999999983,4,102.67
19,102.67,102.59,102.67,0.0799999999999983,0,
20,102.53,102.59,102.67,0.0799999999999983,3,102.53
21,102.13,102.59,102.67,0.0799999999999983,2,102.13
22,101.69,102.22,102.67,0.45000000000000284,7,101.69
23,101.69,102.22,102.65,0.4300000000000068,0,
24,102.65,102.22,102.65,0.4300000000000068,2,102.65
25,102.67,102.22,103.11,0.8900000000000006,5,102.67
26,101.73,101.47,102.06,0.5900000000000034,3,101.73
27,100.48,101.05,102.06,1.0100000000000051,6,100.48
28,100.48,101.05,101.06,0.010000000000005116,0,
29,100.48,101.05,101.06,0.010000000000005116,0,
30,100.56,100.02,100.56,0.5400000000000063,1,100.56
31,100.56,100.02,100.56,0.5400000000000063,0,
32,99.23,99.68,100.56,0.8799999999999955,3,99.23
33,99.62,99.08,99.62,0.5400000000000063,3,99.62
34,99.62,99.08,99.62,0.5400000000000063,0,
35,99.26,99.08,99.26,0.18000000000000682,7,99.26
36,98.67,99.08,99.26,0.18000000000000682,4,98.67
37,99.62,99.08,99.62,0.5400000000000063,4,99.62
38,99.62,99.85,100.56,0.710000000000008,2,99.62
39,99.62,99.85,100.56,0.710000000000008,0,
40,99.1,100.03,100.56,0.5300000000000011,1,99.1
41,100.56,100.8,101.06,0.2600000000000051,2,100.56
42,100.56,100.8,101.06,0.2600000000000051,0,
43,101.36,101.43,101.69,0.2599999999999909,6,101.36
44,102.06,101.43,102.06,0.6299999999999955,2,102.06
45,102.06,101.43,102.06,0.6299999999999955,0,
46,101.25,100.8,101.25,0.45000000000000284,1,101.25
47,100.16,100.03,100.16,0.12999999999999545,2,100.16
48,100.16,100.03,100.16,0.12999999999999545,0,
49,99.2,99.85,100.16,0.3100000000000023,5,99.2
50,99.2,99.85,100.16,0.3100000000000023,0,
51,98.46,99.08,100.16,1.0799999999999983,3,98.46
52,98.46,100.12,100.16,0.03999999999999204,0,
53,99.1,99.08,99.1,0.01999999999999602,3,99.1
54,99.1,99.08,99.1,0.01999999999999602,0,
55,99.44,100.09,100.16,0.06999999999999318,4,99.44
56,99.62,99.08,99.62,0.5400000000000063,1,99.62
57,100.22,99.08,100.53,1.4500000000000028,4,100.22
58,100.22,99.45,100.53,1.0799999999999983,0,
59,100.53,100.67,101.14,0.46999999999999886,3,100.53
60,101.24,101.11,101.24,0.12999999999999545,3,101.24
61,101.24,101.11,101.24,0.12999999999999545,0,
62,101.24,101.11,101.25,0.14000000000000057,4,101.24
63,102.06,102.6,103.07,0.46999999999999886,2,102.06
64,102.33,102.42,103.07,0.6499999999999915,4,102.33
65,102.33,102.42,103.07,0.6499999999999915,1,102.33
66,103.11,102.42,103.11,0.6899999999999977,4,103.11
67,103.12,102.42,103.12,0.7000000000000028,5,103.12
68,103.12,102.42,103.12,0.7000000000000028,0,
69,103.12,102.42,103.12,0.7000000000000028,1,103.12
70,102.27,102.21,102.27,0.060000000000002274,1,102.27
71,102.27,102.21,102.27,0.060000000000002274,0,
72,101.74,102.21,102.27,0.060000000000002274,1,101.74
73,101.74,102.21,102.27,0.060000000000002274,0,
74,103.12,102.21,103.2,0.9900000000000091,3,103.12
75,103.12,102.21,103.2,0.9900000000000091,0,
76,101.7,101.77,102.2,0.4300000000000068,3,101.7
77,101.48,101.11,102.2,1.0900000000000034,1,101.48
78,102.22,101.11,103.2,2.0900000000000034,5,102.22
79,100.68,101.11,103.2,2.0900000000000034,3,100.68
80,101.66,101.88,103.2,1.3200000000000074,4,101.66
81,101.66,103.04,103.2,0.1599999999999966,0,
82,101.66,103.04,103.2,0.1599999999999966,0,
83,101.66,103.04,103.2,0.1599999999999966,0,
84,101.66,103.04,103.2,0.1599999999999966,0,
85,102.62,103.04,103.2,0.1599999999999966,4,102.62
86,102.62,103.04,103.2,0.1599999999999966,0,
87,103.2,103.04,103.4,0.35999999999999943,3,103.2
88,102.21,101.88,102.38,0.5,1,102.21
89,102.21,101.88,102.38,0.5,0,
90,102.72,102.53,102.72,0.18999999999999773,4,102.72
91,100.79,102.16,102.72,0.5600000000000023,1,100.79
92,103.44,102.16,103.44,1.2800000000000011,8,103.44
93,101.11,101.88,103.44,1.5600000000000023,7,101.11
94,101.11,101.88,103.44,1.5600000000000023,0,
95,101.11,101.88,103.44,1.5600000000000023,0,
96,101.11,101.88,102.2,0.3200000000000074,0,
97,101.21,101.11,101.21,0.09999999999999432,1,101.21
98,100.66,100.45,100.66,0.20999999999999375,3,100.66
99,101.21,100.45,101.21,0.7599999999999909,3,101.21
100,101.21,100.45,101.21,0.7599999999999909,0,
101,101.54,100.45,101.54,1.0900000000000034,5,101.54
102,101.54,100.45,101.54,1.0900000000000034,0,
103,102.2,100.45,102.2,1.75,4,102.2
104,102.2,101.89,102.2,0.3100000000000023,2,102.2
105,102.48,102.05,102.48,0.4300000000000068,3,102.48
106,102.48,102.05,102.48,0.4300000000000068,2,102.48
107,102.48,102.05,102.48,0.4300000000000068,0,
108,102.48,102.05,102.23,0.18000000000000682,0,
109,102.48,102.05,102.23,0.18000000000000682,0,
110,102.23,102.05,102.23,0.18000000000000682,4,102.23
